,1_sentence,2_y_predict,3_y_predict_name,4_answer,5_y_predict_probability
2624,"SAP,168,QCI,ZMD5,PROCESS",0,BPM平台系統,4,"[5.6401420e-01 1.4944516e-05 3.0770847e-05 1.9366624e-05 4.3152988e-01
 3.9082244e-03 4.5290560e-04 2.9673110e-05]"
7212,"SAP,168,QCI,帳號,808,TEL",0,BPM平台系統,4,"[9.7433329e-01 1.6609827e-05 2.8000433e-05 1.4276625e-05 1.9541243e-02
 5.4791588e-03 5.8060337e-04 6.8071035e-06]"
1457,"SAP,168,QCI,168,zkd5,料號,出不來",0,BPM平台系統,4,"[9.4542301e-01 1.7537317e-05 3.1555672e-05 1.7041233e-05 4.8394993e-02
 5.5002803e-03 6.0482050e-04 1.0737752e-05]"
4,"CAMP,四月,中時,修改,中英文,姓名,Outlook,已,生效,CAMP,仍為,舊,名字",7,網管,1,"[3.8591534e-05 7.1321845e-02 4.4833072e-02 3.4402463e-01 7.4254662e-05
 1.1649368e-03 5.7579251e-03 5.3278470e-01]"
3847,"內部,資訊,系統,考績,IDP,無法,新增",2,GOC,6,"[6.0098281e-04 2.4060524e-01 3.6993185e-01 9.9483170e-02 1.2500174e-04
 2.7027262e-02 2.5522926e-01 6.9972579e-03]"
3799,"內部,資訊,系統,申外訓,課程,金額,填錯,無法,砍單",2,GOC,6,"[9.2813530e-04 2.3078108e-01 3.6761296e-01 7.8472167e-02 1.6835435e-04
 4.6514902e-02 2.6831314e-01 7.2092214e-03]"
7142,"內部,資訊,系統,連結,查詢,每月,確認,設備,狀態,無任何,資料,顯示",3,R&D資訊系統,6,"[1.44026359e-04 1.49378031e-01 1.10916205e-01 6.44158959e-01
 1.18377524e-04 2.20406358e-03 7.69859254e-02 1.60944518e-02]"
2761,"SAP,2X8,QSMC,VA01,新增,SO,時,出現,错誤",2,GOC,5,"[2.2534463e-03 2.1660887e-01 3.5334465e-01 4.6722461e-02 3.1469093e-04
 1.5447381e-01 2.1199374e-01 1.4288349e-02]"
6263,"SAP,2X8,QSMC,ZIDS,拉貨,ZIDS,查詢,貨,顯示,no,error,found",6,內部資訊系統,5,"[0.00250167 0.19043426 0.30655912 0.052069   0.00038607 0.10182017
 0.3416106  0.0046191 ]"
9774,"SAP,168,QCI,cs15,runtime,error",0,BPM平台系統,4,"[9.7409046e-01 1.5431056e-05 2.6233742e-05 1.3420958e-05 2.0145286e-02
 5.1603904e-03 5.4212962e-04 6.7285600e-06]"
5525,"SAP,168,QCI,user,反應,ZKD5,中看,不到,資料,文件,中心,說,已經,送上去,聯絡",0,BPM平台系統,4,"[9.83842015e-01 4.19760072e-05 5.75309969e-05 2.55043797e-05
 4.02311934e-03 1.06342165e-02 1.37093605e-03 4.68464486e-06]"
584,"CAMP,護照,簽證,申單,原先,申,件,已,完成,簽核,中間,需改,急件,申,現,旅行社,已先,代辦,完成,原先,申單,無法,自行,抽單,告知,是否,抽單,重新,申,方式",3,R&D資訊系統,1,"[1.0283017e-04 1.5407187e-01 1.1026101e-01 5.8948117e-01 1.2349627e-04
 2.5322335e-03 2.8198615e-02 1.1522880e-01]"
10898,"SAP,168,QCI,詢問,cradit,使用,方法",0,BPM平台系統,4,"[9.1345358e-01 1.9589572e-05 3.6252772e-05 2.0136378e-05 7.9863399e-02
 5.9345700e-03 6.5765454e-04 1.4717781e-05]"
3843,"SAP,168,QCI,user,表示,說,ECN,資料,未,同步",0,BPM平台系統,4,"[9.8549241e-01 3.5232297e-05 4.7726062e-05 2.0033180e-05 2.6209524e-03
 1.0670834e-02 1.1084283e-03 4.3575237e-06]"
1243,"BPM,平台,系統,簽核,無法,順利,完成",2,GOC,0,"[3.2111976e-04 2.8441000e-01 4.1053066e-01 1.2202038e-01 8.1497979e-05
 2.1730578e-02 1.3803868e-01 2.2867043e-02]"
